# tile size

128 128

# tiles list
# id face file

0 0 cactus_inside.png
0 0 cactus_side.png
0 0 cactus_top.png
0 0 dirt.png
0 0 dirt_grass.png
0 0 dirt_sand.png
0 0 grass1.png
0 0 grass2.png
0 0 grass3.png
0 0 grass4.png
0 0 grass_brown.png
0 0 grass_tan.png
0 0 grass_top.png
0 0 greystone.png
0 0 leaves.png
0 0 leaves_orange.png
0 0 leaves_orange_transparent.png
0 0 leaves_transparent.png
0 0 mushroom_brown.png
0 0 mushroom_red.png
0 0 sand.png
0 0 stone.png
0 0 stone_dirt.png
0 0 stone_grass.png
0 0 stone_sand.png
0 0 trunk_side.png
0 0 trunk_top.png
0 0 trunk_white_side.png
0 0 trunk_white_top.png
0 0 water.png
